match_id,num,eu_cp_id,eu_cp_name,home_win_odd0,draw_odd0,away_win_odd0,home_win_p0,draw_p0,away_win_p0,return_rate0,home_win_odd1,draw_odd1,away_win_odd1,home_win_p1,draw_p1,away_win_p1,return_rate1,kelly_home,kelly_draw,kelly_away,datestr,eu_cp_name_ex,flag1,flag2
2894738,843,148372105,TonyBet,1.59,4.1,5.2,59.05,22.9,18.05,93.88,1.52,4.5,6.4,63.48,21.44,15.08,96.49,0.96,1.00,0.94,"2025,12-1,23,18,58,00",Tony*(马耳他),0,0
2894738,1376,148300208,ToonieBet,1.57,3.8,5.66,59.15,24.44,16.41,92.87,1.44,4.33,7.5,65.59,21.81,12.59,94.45,0.91,0.96,1.10,"2025,12-1,23,19,58,00",ToonieBe*,0,0
2894738,1349,148482570,Unibet.se,1.52,4.25,6.4,62.69,22.42,14.89,95.29,1.52,4.1,6.5,62.32,23.1,14.57,94.73,0.96,0.91,0.96,"2025,12-1,23,19,41,00",Uni*.se(瑞典),0,0
2894738,1373,148372100,Vave,1.59,4.1,5.2,59.05,22.9,18.05,93.88,1.52,4.5,6.4,63.48,21.44,15.08,96.49,0.96,1.00,0.94,"2025,12-1,23,18,58,00",Vav*,0,0
2894738,1308,148472166,Vbet.fr,1.4,3.45,5.2,59.7,24.23,16.07,83.58,1.41,3.37,5.1,59,24.69,16.31,83.19,0.89,0.75,0.75,"2025,12-1,23,19,15,00",Vbe*(法国),0,0
2894738,1352,148472167,Vbet.CAN,1.53,4.3,6.7,63.12,22.46,14.41,96.58,1.57,4.3,6.7,62.52,22.83,14.65,98.16,0.99,0.95,0.99,"2025,12-1,23,19,15,00",Vbe*(加拿大),0,0
2894738,974,148483816,VBet,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.47,4.3,7.6,65.13,22.27,12.6,95.75,0.93,0.95,1.12,"2025,12-1,23,13,23,00",VBe*(库拉索),0,0
2894738,1309,148485707,Vbet.UKR,1.54,4.3,6.6,62.83,22.5,14.66,96.77,1.57,4.3,6.7,62.52,22.83,14.65,98.16,0.99,0.95,0.99,"2025,12-1,23,18,59,00",Vbe*(乌克兰),0,0
2894738,113,148482562,Veikkaus,1.57,4.2,5.75,60.72,22.7,16.58,95.33,1.54,4.3,5.95,61.84,22.15,16.01,95.24,0.97,0.95,0.88,"2025,12-1,23,18,57,00",Veikk*(芬兰),0,0
2894738,1405,148386998,Velobet,1.54,3.8,4.79,57.91,23.47,18.62,89.18,1.47,4.22,6.61,63.66,22.18,14.16,93.59,0.93,0.93,0.97,"2025,12-1,23,10,04,00",Velobe*,0,0
2894738,1393,148300211,Weltbet,1.54,3.9,5.5,59.71,23.58,16.72,91.95,1.54,3.9,5.5,59.71,23.58,16.72,91.95,0.97,0.86,0.81,"2025,11-1,23,20,14,00",Weltbe*,0,0
2894738,1074,148482563,Winamax,1.46,3.8,5.2,60.06,23.08,16.86,87.69,1.52,4.2,5.9,61.75,22.35,15.91,93.85,0.96,0.93,0.87,"2025,12-1,15,08,38,00",Wina*.com,0,0
2894738,1301,148367631,Winline.ru,1.59,4.1,5.2,59.05,22.9,18.05,93.88,1.55,4.4,6.2,62.41,21.99,15.6,96.74,0.98,0.97,0.91,"2025,12-1,23,18,52,00",Winlin*.ru(俄罗斯),0,0
2894738,1070,148371240,WinlineBet,1.64,4.03,5.2,58.06,23.63,18.31,95.22,1.55,4.4,6.2,62.41,21.99,15.6,96.74,0.98,0.97,0.91,"2025,12-1,23,18,52,00",Winline*,0,0
2894738,1417,148472175,Winspirit,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.53,3.83,7.1,61.92,24.74,13.34,94.74,0.97,0.85,1.04,"2025,12-1,23,19,48,00",Winspiri*,0,0
